,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
THUR,LF5F6(15B11CI311)-123/VSG,LF1F2(15B11CI212)-123/ARJ,LE3E4(19B13BT211)- 148/ANS,LF3F4(15B11CI312)-259/DVP,,TE3(18B11EC215) -113/BHC,LE3E4(15B11HS211) -259/SKVA,TF7(15B11CI212) -113/HMA
THUR,TE6(18B11EC214) -113/MAG,TF8(15B11EC211) -121 /VG,"LF7F8F9(15B11HS211) -153
/PRAVEEN",,,TF7(15B11CI312) -126/LTM,LF5F6(15B11CI212)-153/ MKG,
THUR,LF1F2(15B11CI312) -SR05/SGU,TE6(15B11HS211) -113/PRAVEEN,PF5(22B15HS211)-HSS LAB/GAURIKA,,,,LE1E2(19B13BT211)-148 /ANS,
THUR,,,,,,PF8(15B17CI371 ) - CL4/ NRJ,,
THUR,,,,,,,TF2(15B11CI311) -121/SQM,
THUR,,,,,,,,
FRID,,,,,,,TF3(15B11HS211) -113/PRAVEEN,
FRID,,LF7F8F9(18B11CS211)-257/LTM,,TE4(15B1HS211)-121/SKVA,,PF2(15B17CI371 ) -CL4/ VSG,,TF2(15B11CI312) -121/SGU
FRID,PE3(15B17EC271)-130/VIMAL,,PE5(15B17EC271)-130/BAJRANG,,LE1E2(18B11EC214) -148 /SVS,LE5E6(18B11EC214) -153/ABK,PE4(15B17EC271)-130/PARUL,
FRID,,PF3(15B17CI371 ) -CL4/ VSG,,,,LF5F6(15B11CI212)- 148/MKG,PE3-(18B15EC215)-224/KDT,
FRID,LE1E2(18B11EC215) -148/BHC,LE1E2(15B11HS211) -153/AA,LE3E4(18B11EC215) -123/PK,"LF7F8F9(15B11HS211) -153
/PRAVEEN",,LF7F8(15B11EC211) -123/VG,LF5F6(15B11EC211) -148 /ATUL,TF1(15B11CI311) -113/SQM
FRID,LF3F4(15B11HS211) -123/PRAVEEN,LF1F2(15B11CI312) -148/SGU,LF1F2(15B11EC211) - 148/JMN,LF5F6(15B11CI311)-217/VSG,,LF3F4(15B11CI311)-217/NRJ,LE5E6(18B11EC215) -153/PK,TF4(15B11CI212) -126/MKG
FRID,,LF5F6(15B11CI312)-123 /ADITI,TE2(15B11MA301) - 121/SARFARAZ,LF3F4(15B11CI212)-123/BDJ,,PF1(22B15HS211)-CR10/EKTA,,TF3(15B11CI312) -153/DVP
FRID,PE4(22B15HS211)-HSS LAB/SHWETA,,LF7F8F9(15B11CI311)-153/MKS,LF1F2(15B11CI311)-148/KSA,,TE1(15B11HS211) - 126/AA,PF9(22B15HS211)-SR05/GAURIKA,
