,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
Friday,,LF7F8F9(15B11CI312)-257/LTM,,TE4(15B1HS211)-121/SKVA,,PF2(15B17CI371 ) -CL4/ VSG,,TF2(15B11CI312) -121/SGU
Friday,PE3(15B17EC271)-130/VIMAL,,PE5(15B17EC271)-130/BAJRANG,,LE1E2(18B11EC214) -148 /SVS,LE5(18B11EC214) -153/ABK,PE4(15B17EC271)-130/PARUL,
Friday,,PF3(15B17CI371 ) -CL4/ VSG/ARM,,,,LF5F6(15B11CI212)- 148/MKG,PE3-(18B15EC215)-224/KDT,
Friday,LE1E2(18B11EC215) -148/BHC,LE1E2(15B11HS211) -148/AA,LE3E4(18B11EC215) -123/PK,"LF7F8F9(15B11HS211) -153
/PRAVEEN",,LF7F8(15B11EC211) -123/VG,LF5F6(15B11EC211) -148 /ATUL,TF1(15B11CI311) -113/SQM
Friday,LF3F4(15B11HS211) -153/PRAVEEN,LF1F2(15B11CI312) -153/SGU,LF1F2(15B11EC211) - 148/JMN,LF5F6(15B11CI311)-217/VSG,,LF3F4(15B11CI311)-217/NRJ,LE5(18B11EC215) -153/PK,TF4(15B11CI212) -126/MKG
Friday,TF8(15B11CI312) -113/ASH,LF5F6(15B11CI312)-123 /ADITI,TE2(15B11MA301) - 121/KKS,LF3F4(15B11CI212)-123/BDJ,,PF1(22B15HS211)-CR10/EKTA,,TF6(15B11CI312) -SR05//LTM
Friday,PE4(22B15HS211)-HSS LAB/SHWETA,,LF7F8F9(15B11CI311)-153/MKS,LF1F2(15B11CI311)-148/KSA,,TE1(15B11HS211) - 126/AA,PF9(22B15HS211)-123/GAURIKA,
Friday,,,,,,,TF4(15B11EC211) -121 /ABHIJEET,TF5(15B11CI312)-148/ADITI
Friday,,,,,,,,
Saturday,,,PF1(15B17CI371 ) -EMBEDDED LAB/ ABS,,,,,
Saturday,,,PF6(15B17EC271)-130/PARUL,,,,,
Saturday,"PF6F9(15B17CI371 ) -CL4/ NRJ,SQM,ABS",,"PF7F9(15B17CI372) - CL2/ SGU,LTM,ASH",,,,,
Saturday,,,PF8(15B17CI371 ) - MML LAB/ NRJ,,,,,
Saturday,LE1E2(19B13BT211)-153 /ANS,LE3E4(18B11EC214) -148/ABK,,,,,,
Saturday,LE5E6(19B13BT211)-148 /RAJ,LE5E6(15B11EC211) -153 /ATUL,PF5(15B17CI371 ) -CL4/KSA,,,,,
Saturday,,LE1E2(15B11EC211)-217/SK,PE2(22B15HS211)-121/EKTA,,,,,
Saturday,,TF4(15B11CI312) -123/DVP,PE1(22B15HS211)-CR10/AB,,,,,
Saturday,PF1(15B17EC271)-130/VIMAL,,TE4(15B11MA301) -126 /LKK,LE3E4(19B13BT211)- 148/ANS,,,,
Saturday,,,LF3F4(15B11CI312)-148/DVP,LE5E6(19B13BT211)-153/RAJ,,,,
